#x  Curve1
-2.2576  10.0838
-2.21335  9.6093
-2.13482  9.2593
-2.1241  8.9908
-2.09099  8.5988
-2.05789  8.2067
-2.03635  7.7112
-1.94672  7.2581
-1.8578  6.495
-1.80208  6.0826
-1.72402  5.526
-1.69096  5.1133
-1.65804  4.6386
-1.57947  4.3092
-1.53513  3.876
-1.44531  3.5055
-1.36688  3.1141
-1.2434  2.5995
-1.15401  2.0431
-1.01892  1.6526
-0.91787  1.2409
-0.74883  0.8303
-0.62478  0.5637
-0.47789  0.38
-0.35362  0.2166
-0.17268  0.0541
