#x,Curve1
-3.3111,3.25495
-3.1221,2.83005
-2.8966,2.45373
-2.6692,2.12096
-2.4858,1.83636
-2.2548,1.5907
-2.0334,1.38855
-1.823,1.20086
-1.6129,1.00349
-1.3784,0.8401
-1.1675,0.66209
-0.9217,0.49393
-0.7318,0.3642
-0.4727,0.23965
-0.2597,0.11003
-0.0341,0.00951
